index,Date,Plat,Wfeculent,Wfruit,Wlegume,Wbio,Windustriel,month,match,category,is_saison
2265,2018-01-09,"Purée de courge ""maison""",0.0,0.0,1.0,0,0,1,courge,legume,True
2266,2018-01-10,Endives à la mimolette,0.0,0.0,0.5,0,0,1,endive,legume,True
2267,2018-01-10,Kiwi bio°,0.0,1.0,0.0,1,0,1,kiwi,fruit,True
2268,2018-01-11,Galette des rois,0.5,0.0,0.0,0,1,1,,,False
2272,2018-01-15,Petits pois,0.0,0.0,1.0,0,0,1,pois,feculent,False
2275,2018-01-25,"Poêlée de légumes (carottes, haricots verts, pdt, brocolis)",0.5,0.0,0.5,0,0,1,carotte,legume,True
2277,2018-01-30,Purée de carottes et potiron,0.0,0.0,1.0,0,0,1,carotte,legume,True
2279,2018-02-05,Haricots verts/haricots beurre,0.5,0.0,0.5,0,0,2,haricots verts,legume,False
2280,2018-02-06,Yaourt au citron BBC°,0.0,0.5,0.0,0,0,2,citron,fruit,True
2281,2018-02-08,Lentilles bio,0.5,0.0,0.5,1,0,2,,,False
2283,2018-02-15,Choux blancs bio° à la mimolette,0.0,0.0,0.5,1,0,2,chou,legume,False
2284,2018-02-20,Salade verte aux dés de chèvre,0.0,0.0,0.5,0,0,2,salade verte,legume,True
2285,2018-02-22,Saute de veau bio*° au citron,0.0,0.5,0.0,1,0,2,citron,fruit,True
2287,2018-02-23,Galette de soja tomate/basilic et sauce tomate,0.0,0.3333333333333333,0.3333333333333333,0,1,2,tomate,fruit,False
2288,2018-02-23,Kiwi bio°,0.0,1.0,0.0,1,0,2,kiwi,fruit,True
2291,2018-03-01,Banane,0.0,1.0,0.0,0,0,3,,,False
2292,2018-03-02,Macédoine à la mayonnaise,0.0,0.0,0.5,0,1,3,,,False
2294,2018-03-12,Betteraves,0.0,0.0,1.0,0,0,3,betterave,legume,True
2295,2018-03-20,Carottes râpées bio,0.0,0.0,0.5,1,0,3,carotte,legume,True
2298,2018-03-26,Petits pois,0.0,0.0,1.0,0,0,3,pois,feculent,False
